model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fourier_features,scale
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1301.692320061496,241.37835279267907,0.022984161972999573,1.9798059463500977,0.001,3,32,2,1,cuda,1000,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1264.34238385835,241.37835279267907,0.023616280406713486,1.9814543724060059,0.001,3,32,2,1,cuda,1000,32,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1220.9326341825636,241.37835279267907,0.023683346807956696,1.9796199798583984,0.001,3,32,2,1,cuda,1000,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1615.289248138387,241.37835279267907,0.026891544461250305,1.971925973892212,0.001,3,32,2,1,cuda,1000,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1850.382960226322,241.37835279267907,0.028802797198295593,1.970346450805664,0.001,3,32,2,1,cuda,1000,32,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1502.5694601321954,241.37835279267907,0.025991074740886688,1.9677140712738037,0.001,3,32,2,1,cuda,1000,32,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1430.5625222243139,241.37835279267907,0.026632234454154968,1.9814960956573486,0.001,3,32,2,1,cuda,1000,32,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1263.6085644661982,241.37835279267907,0.02479197457432747,1.982487440109253,0.001,3,32,2,1,cuda,1000,32,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1117.2241844984103,146.62219666474985,0.017776019871234894,2.4744434356689453,0.001,3,32,2,1,cuda,1000,64,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1260.6563938043842,146.62219666474985,0.020990779623389244,2.4769115447998047,0.001,3,32,2,1,cuda,1000,64,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1293.6470582852241,146.62219666474985,0.022228511050343513,2.475578784942627,0.001,3,32,2,1,cuda,1000,64,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1025.2110969921353,146.62219666474985,0.018504483625292778,2.4740569591522217,0.001,3,32,2,1,cuda,1000,64,10
