model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale,alpha,beta
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,182.80216307940094,10.728754365541327,0.0037230411544442177,99.1009292602539,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,186.4686702539324,10.728754365541327,0.0038377419114112854,99.09636497497559,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,470.76790495314594,10.728754365541327,0.006821273360401392,99.09393668174744,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,526.1475772883199,10.728754365541327,0.007551765535026789,99.09402465820312,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,448.73461293089025,10.728754365541327,0.006851847283542156,99.09622645378113,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.0999649640228,10.728754365541327,0.006393957417458296,99.10099673271179,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.0364609479585,10.728754365541327,0.006746027618646622,99.09657096862793,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,248.24020038487282,3.716399854245111,0.004305941518396139,80.29252982139587,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,287.6031534994143,3.716399854245111,0.004606381058692932,80.28901290893555,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,229.2584779221051,3.716399854245111,0.004169521387666464,80.32775783538818,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,235.07422005731257,3.716399854245111,0.0042995261028409,80.2870261669159,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,1.0
