model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.02693481184542179,18.09805941581726,0.001,3,64,4,1,cuda,2000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.027612019330263138,18.09645175933838,0.001,3,64,4,1,cuda,2000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.027925459668040276,18.164674758911133,0.001,3,64,4,1,cuda,2000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.030057473108172417,18.158633947372437,0.001,3,64,4,1,cuda,2000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.02685466967523098,18.160554885864258,0.001,3,64,4,1,cuda,2000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1433.2207175054384,59.7553316147176,0.026562094688415527,18.160109281539917,0.001,3,64,4,1,cuda,2000,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.02742796204984188,18.159977436065674,0.001,3,64,4,1,cuda,2000,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.028043238446116447,1.4506545066833496,0.001,3,128,3,1,cuda,100,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.030115270987153053,1.4512939453125,0.001,3,128,3,1,cuda,100,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.027053097262978554,1.449537992477417,0.001,3,128,3,1,cuda,100,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.027064573019742966,1.4496147632598877,0.001,3,128,3,1,cuda,100,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.027783527970314026,1.4496333599090576,0.001,3,128,3,1,cuda,100,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.03105401061475277,1.4531383514404297,0.001,3,128,3,1,cuda,100,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.03425099328160286,1.4529845714569092,0.001,3,128,3,1,cuda,100,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.030293770134449005,1.4541518688201904,0.001,3,128,3,1,cuda,100,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.030100813135504723,1.452955722808838,0.001,3,128,3,1,cuda,100,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.029147468507289886,1.4536268711090088,0.001,3,128,3,1,cuda,100,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.027920160442590714,7.237192392349243,0.001,3,128,3,1,cuda,500,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.03008272871375084,7.237339735031128,0.001,3,128,3,1,cuda,500,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.026954257860779762,7.237508058547974,0.001,3,128,3,1,cuda,500,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.02699303813278675,7.236814975738525,0.001,3,128,3,1,cuda,500,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.02765636332333088,7.236929178237915,0.001,3,128,3,1,cuda,500,True
