model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,sample_fraction,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,323.4205546142905,22.721758502896183,0.0071610393933951855,4.00099515914917,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,310.60331429886213,22.721758502896183,0.007313592825084925,4.00075101852417,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,316.30515551790495,22.721758502896183,0.007277113385498524,4.0040483474731445,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,331.61572461721886,22.721758502896183,0.008019438944756985,3.9998080730438232,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.68070981844045,22.721758502896183,0.00798355508595705,4.001704931259155,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,324.0172591407296,22.721758502896183,0.007150779012590647,5.012186050415039,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.3313736717704,22.721758502896183,0.008319400250911713,5.0098347663879395,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,300.5300328919846,22.721758502896183,0.007222666870802641,5.012700796127319,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,263.19739635625837,22.721758502896183,0.006359817925840616,5.010545015335083,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,301.5640047167838,22.721758502896183,0.007424985058605671,5.01149582862854,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,380.0673788905622,22.721758502896183,0.009045565500855446,5.013701915740967,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.4733687353581,22.721758502896183,0.007105489727109671,5.014288663864136,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,361.8757425535475,22.721758502896183,0.008829876780509949,5.01341438293457,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,334.31116000460173,22.721758502896183,0.007553470320999622,5.013410568237305,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,439.52696462935074,22.721758502896183,0.009969048202037811,5.011308431625366,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,369.76665516231594,22.721758502896183,0.009034395217895508,5.012298107147217,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,327.8050208647088,22.721758502896183,0.006988616194576025,5.010927200317383,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,319.54024431057564,22.721758502896183,0.008374427445232868,5.0242979526519775,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,373.41075369185074,22.721758502896183,0.008381569758057594,5.012359380722046,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,297.3632420306225,22.721758502896183,0.007509114686399698,5.0366387367248535,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.9814204735609,22.721758502896183,0.007025315426290035,5.008702278137207,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,287.4468067582831,22.721758502896183,0.0065235598012804985,5.012135744094849,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,295.1816798443775,22.721758502896183,0.006926161237061024,5.011672019958496,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.9656869666165,22.721758502896183,0.0078087798319756985,5.008653879165649,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,330.32819298025436,22.721758502896183,0.007809702306985855,5.013435363769531,0.001,3,128,3,1,cuda,1000,0.4,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,307.7062311746988,22.721758502896183,0.006899372674524784,5.969818115234375,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.97558070824965,22.721758502896183,0.007845710963010788,5.932450771331787,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.6090625522925,22.721758502896183,0.0071751391515135765,5.934352159500122,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,276.86861377802876,22.721758502896183,0.006899634376168251,5.930326461791992,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,266.26335550535475,22.721758502896183,0.006648383568972349,5.931419134140015,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,401.10824940386544,22.721758502896183,0.009360307827591896,5.9336817264556885,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,309.0142601656627,22.721758502896183,0.007287129294127226,6.050658464431763,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.9178157944277,22.721758502896183,0.008775869384407997,5.932450532913208,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.298765373996,22.721758502896183,0.00784286018460989,5.932462692260742,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.85797879016064,22.721758502896183,0.009965497069060802,5.932375907897949,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.1619237366131,22.721758502896183,0.008489244617521763,5.931927442550659,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,324.7993680450971,22.721758502896183,0.006705941632390022,5.931564092636108,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,303.62572294385876,22.721758502896183,0.007836950942873955,5.932952404022217,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,376.2925987805388,22.721758502896183,0.00859854370355606,5.932126998901367,0.001,3,128,3,1,cuda,1000,0.5,True,100,45
