model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,646.0716106613955,22.721758502896183,0.016349636018276215,2.703209638595581,0.001,3,128,3,1,cuda,1000,0.1,500,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,624.8415105735442,22.721758502896183,0.01639963500201702,2.733468770980835,0.001,3,128,3,1,cuda,1000,0.1,500,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,638.7873381547022,22.721758502896183,0.016130737960338593,2.734386444091797,0.001,3,128,3,1,cuda,1000,0.1,500,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,13492.451901355422,22.721758502896183,0.20084863901138306,2.782907724380493,0.001,3,128,3,1,cuda,1000,0.1,500,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11579.824703762968,22.721758502896183,0.1697487086057663,2.871826410293579,0.001,3,128,3,1,cuda,1000,0.1,500,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11403.915168486446,22.721758502896183,0.16155442595481873,2.7108607292175293,0.001,3,128,3,1,cuda,1000,0.1,500,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6327.881747040245,22.721758502896183,0.08963756263256073,2.666936159133911,0.001,3,128,3,1,cuda,1000,0.1,500,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11718.457185512885,22.721758502896183,0.16710318624973297,2.6802978515625,0.001,3,128,3,1,cuda,1000,0.1,500,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,661.2091700133868,22.721758502896183,0.0162500012665987,2.7286317348480225,0.001,3,128,3,1,cuda,1000,0.1,1000,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,805.7311511671687,22.721758502896183,0.018380267545580864,2.849313259124756,0.001,3,128,3,1,cuda,1000,0.1,1000,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,669.1299337976908,22.721758502896183,0.01659296080470085,2.6042978763580322,0.001,3,128,3,1,cuda,1000,0.1,1000,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,654.3558308755856,22.721758502896183,0.016932541504502296,2.6042356491088867,0.001,3,128,3,1,cuda,1000,0.1,1000,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,658.7769554781627,22.721758502896183,0.01700061932206154,2.659780263900757,0.001,3,128,3,1,cuda,1000,0.1,1000,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8971.359636462517,22.721758502896183,0.12346723675727844,2.7182765007019043,0.001,3,128,3,1,cuda,1000,0.1,1000,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,18396.454538204904,22.721758502896183,0.2733208239078522,2.8828866481781006,0.001,3,128,3,1,cuda,1000,0.1,1000,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,24041.51009506777,22.721758502896183,0.31807491183280945,2.6588850021362305,0.001,3,128,3,1,cuda,1000,0.1,1000,False
