model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,384.14941667712515,22.721758502896183,0.004052609670907259,3.625432014465332,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,313.4185204359103,22.721758502896183,0.007465077098459005,3.644960641860962,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,317.9985541122825,22.721758502896183,0.004533237311989069,3.638275623321533,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,577.7582046937752,22.721758502896183,0.005233480129390955,3.619917392730713,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,657.7483606300201,22.721758502896183,0.009704277850687504,3.628286600112915,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,442.3133732848059,22.721758502896183,0.007382382173091173,3.6203927993774414,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,293.7151575050201,22.721758502896183,0.0037485510110855103,3.6384031772613525,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,311.5242388826138,22.721758502896183,0.004338748753070831,3.6604273319244385,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,511.12420253932396,22.721758502896183,0.00516500324010849,3.676424741744995,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,598.5783093310743,22.721758502896183,0.007251708302646875,3.657801628112793,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,313.4631860776439,22.721758502896183,0.003819053992629051,3.6347758769989014,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,363.29695082412985,22.721758502896183,0.004507939796894789,3.6355669498443604,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,836.5528507258199,22.721758502896183,0.010413885116577148,3.6284210681915283,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,637.470577622992,22.721758502896183,0.0072282226756215096,3.6340901851654053,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,542.8989761127845,22.721758502896183,0.008491217158734798,6.021262884140015,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,659.3384736864123,22.721758502896183,0.009421702474355698,6.016134023666382,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.5192540997323,22.721758502896183,0.0050294054672122,6.025544881820679,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,308.8706623368474,22.721758502896183,0.004867623094469309,5.9973304271698,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.999711083919,22.721758502896183,0.005705601070076227,6.023181676864624,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,566.4654581869144,22.721758502896183,0.006500958930701017,6.005296230316162,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,356.6511227200468,22.721758502896183,0.004981211852282286,5.998709440231323,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,558.8762001129518,22.721758502896183,0.009437203407287598,6.036773204803467,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,631.6730803422022,22.721758502896183,0.006672875955700874,6.020590782165527,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,596.4685682835509,22.721758502896183,0.009055860340595245,6.021692276000977,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,480.9848482471553,22.721758502896183,0.0074533079750835896,6.018045663833618,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,692.5577361529452,22.721758502896183,0.008475051261484623,6.005924224853516,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,315.29061428003683,22.721758502896183,0.0055028959177434444,6.012240648269653,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,540.0781367658133,22.721758502896183,0.005472526419907808,5.991217374801636,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,321.2484952832162,22.721758502896183,0.004900474101305008,5.975540399551392,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,558.0110677083334,22.721758502896183,0.008298253640532494,5.981226444244385,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,414.4443542398762,22.721758502896183,0.006549525540322065,6.024183511734009,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.6654574025268,22.721758502896183,0.004868363495916128,6.000646114349365,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,378.42102916875837,22.721758502896183,0.005591821391135454,6.015706539154053,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,513.813209870733,22.721758502896183,0.008903330191969872,6.019833564758301,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,21,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,559.1513920264391,22.721758502896183,0.008377461694180965,6.017048597335815,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,22,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,491.5490765143909,22.721758502896183,0.006052069365978241,6.040457725524902,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.85740095799866,22.721758502896183,0.005753646604716778,6.006747484207153,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.88177449380856,22.721758502896183,0.004693896975368261,5.97972846031189,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,392.9006076388889,22.721758502896183,0.0072312187403440475,6.011837720870972,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,435.18466443900604,22.721758502896183,0.004507767036557198,6.013882160186768,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,548.565194371235,22.721758502896183,0.0068702418357133865,5.995869398117065,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,395.34259433567604,22.721758502896183,0.004690512549132109,5.982999086380005,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,461.6704617950971,22.721758502896183,0.0072334748692810535,6.018861532211304,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,330.2596427376171,22.721758502896183,0.007020766381174326,6.0005340576171875,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,321.3070576577142,22.721758502896183,0.0040397970005869865,5.981582403182983,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,429.5764529472055,22.721758502896183,0.004241896793246269,5.977255582809448,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,391.6656534994143,22.721758502896183,0.007239336147904396,5.994525671005249,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,34,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,374.86137126631525,22.721758502896183,0.006066861096769571,6.004692077636719,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,35,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,224.18823078773428,22.721758502896183,0.0033535414841026068,6.0228588581085205,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,36,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,283.9050694967369,22.721758502896183,0.004483417142182589,5.988090515136719,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,389.2150594565763,22.721758502896183,0.00632844353094697,6.019268751144409,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,267.4787091072624,22.721758502896183,0.006740635260939598,6.020871877670288,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,279.38865226531124,22.721758502896183,0.004032182972878218,6.034424781799316,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,337.11714435868475,22.721758502896183,0.003849828615784645,6.012492895126343,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,544.0788675535475,22.721758502896183,0.008162182755768299,6.0209972858428955,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,255.13216668758366,22.721758502896183,0.0031766246538609266,6.008744478225708,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,355.3059124518909,22.721758502896183,0.005953533574938774,6.024682283401489,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,221.64674583751673,22.721758502896183,0.0034333947114646435,6.016630172729492,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,535.8340379748159,22.721758502896183,0.007515536155551672,6.028194427490234,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,434.2850268260542,22.721758502896183,0.005079505033791065,6.011514902114868,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,340.00963097180386,22.721758502896183,0.004200555384159088,5.992309808731079,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,309.88735279660307,22.721758502896183,0.004107758868485689,6.012591361999512,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,481.64282389976574,22.721758502896183,0.0056444816291332245,6.013725996017456,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,563.7532839692102,22.721758502896183,0.0070934901013970375,6.023768186569214,0.001,3,128,3,1,cuda,2000,0.2,1,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,462.0737938734103,22.721758502896183,0.007276201155036688,8.099104881286621,0.001,3,128,3,1,cuda,2000,0.3,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,572.1178137027276,22.721758502896183,0.008818360976874828,8.065888404846191,0.001,3,128,3,1,cuda,2000,0.3,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,454.67192598519074,22.721758502896183,0.008005768992006779,8.09286880493164,0.001,3,128,3,1,cuda,2000,0.3,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.9155672167838,22.721758502896183,0.007567903492599726,8.056600093841553,0.001,3,128,3,1,cuda,2000,0.3,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,268.27738689131525,22.721758502896183,0.004402742255479097,8.09334421157837,0.001,3,128,3,1,cuda,2000,0.3,1,True,100,45
