model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,36,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,247.07905580655958,22.721758502896183,0.005219383630901575,10.129794836044312,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,215.26717547272423,22.721758502896183,0.003606701036915183,10.143175601959229,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,120.42749905873494,22.721758502896183,0.0025506021920591593,10.128730535507202,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,279.7986137257363,22.721758502896183,0.005959943402558565,10.13144063949585,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,300.6447247322624,22.721758502896183,0.004213951528072357,10.133461952209473,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,270.636703062249,22.721758502896183,0.004128551576286554,10.1315279006958,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,216.38435512884874,22.721758502896183,0.003590030362829566,10.134140491485596,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,318.56798417628846,22.721758502896183,0.005585848353803158,10.129080295562744,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,165.35429609061245,22.721758502896183,0.0025125809479504824,10.130381107330322,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,246.77449773050535,22.721758502896183,0.0030468206387013197,10.131154537200928,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,421.10598383115797,22.721758502896183,0.005336723290383816,10.13111400604248,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,275.04406558525767,22.721758502896183,0.00489298440515995,10.133586645126343,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,333.19433332287485,22.721758502896183,0.005915394052863121,10.131331205368042,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,555.4701880438421,22.721758502896183,0.0075328778475522995,10.131051778793335,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,312.3659481676707,22.721758502896183,0.004233377519994974,10.133523225784302,0.001,3,128,3,1,cuda,1000,True,100,45
