model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,367.51828668842035,22.721758502896183,0.007767746224999428,3.6085290908813477,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,239.35637733224564,22.721758502896183,0.004961363971233368,3.621575355529785,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,222.3107965717035,22.721758502896183,0.004573708865791559,3.631479263305664,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,240.8418949234438,22.721758502896183,0.005397966597229242,3.601365566253662,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,321.95395252886544,22.721758502896183,0.0066066887229681015,3.61651349067688,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,246.9917953062249,22.721758502896183,0.00492031779140234,3.634173631668091,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,217.5574890708668,22.721758502896183,0.00478110508993268,3.6250808238983154,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,270.77357215319614,22.721758502896183,0.005834749434143305,3.622076988220215,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,486.8543810659304,22.721758502896183,0.009892373345792294,3.619523286819458,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,439.37991418800203,22.721758502896183,0.00975846964865923,3.64251971244812,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,329.15220517486614,22.721758502896183,0.00775193702429533,5.973553895950317,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,400.54701618975906,22.721758502896183,0.008997408673167229,5.952866315841675,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,322.46955399723896,22.721758502896183,0.007734660059213638,5.947679758071899,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.237609291332,22.721758502896183,0.00762551836669445,5.942419767379761,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,318.6824890708668,22.721758502896183,0.007666982710361481,5.9596757888793945,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,405.0074203062249,22.721758502896183,0.009614403359591961,5.965774297714233,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,354.1615616110274,22.721758502896183,0.008243439719080925,5.945386648178101,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.42423208458837,22.721758502896183,0.00935792550444603,6.049280881881714,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,367.234742354836,22.721758502896183,0.008375100791454315,5.944637298583984,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,499.0991400497825,22.721758502896183,0.010916727595031261,5.9515135288238525,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
