model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1095.1707428673026,156.20338983050848,0.01973133720457554,13.484503507614136,0.001,3,32,4,1,cuda,2000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,989.3561394013554,156.20338983050848,0.019147811457514763,13.484033346176147,0.001,3,32,4,1,cuda,2000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,973.8788238893072,156.20338983050848,0.02010572887957096,13.48432207107544,0.001,3,32,4,1,cuda,2000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1387.7937335278614,83.57128810226155,0.023416858166456223,0.5979371070861816,0.001,3,64,2,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1718.2310570406626,83.57128810226155,0.026598326861858368,0.5969884395599365,0.001,3,64,2,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.8917937374497,83.57128810226155,0.02424457110464573,0.5976955890655518,0.001,3,64,2,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1222.6347577811246,83.57128810226155,0.022841084748506546,0.5967066287994385,0.001,3,64,2,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1275.426406145415,83.57128810226155,0.024378668516874313,0.5982513427734375,0.001,3,64,2,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1108.1200609730588,83.57128810226155,0.019138095900416374,2.9728989601135254,0.001,3,64,2,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1321.1134616591366,83.57128810226155,0.02070956490933895,2.973167657852173,0.001,3,64,2,1,cuda,500,256.0,1.0
