model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,214.12592949924695,22.721758502896183,0.0043871556408703,3.625940322875977,0.001,128,3,0.1,2000,True,100,45,36.89082287560515
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,226.7414357952644,22.721758502896183,0.0052014058455824,3.611018657684326,0.001,128,3,0.1,2000,True,100,45,36.64220656373875
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,264.50333495440094,22.721758502896183,0.0062276436947286,3.7206006050109854,0.001,128,3,0.1,2000,True,100,45,35.97320396618331
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,334.5173924866131,22.721758502896183,0.0063644610345363,3.6084017753601074,0.001,128,3,0.1,2000,True,100,45,34.95332845902122
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,367.5182866884204,22.721758502896183,0.0077677462249994,3.608529090881348,0.001,128,3,0.1,2000,True,100,45,34.54472595522961
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,239.35637733224564,22.721758502896183,0.0049613639712333,3.621575355529785,0.001,128,3,0.1,2000,True,100,45,36.407065455962645
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,222.3107965717035,22.721758502896183,0.0045737088657915,3.631479263305664,0.001,128,3,0.1,2000,True,100,45,36.727909939508976
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,240.8418949234438,22.721758502896183,0.0053979665972292,3.601365566253662,0.001,128,3,0.1,2000,True,100,45,36.380195132266735
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,321.95395252886544,22.721758502896183,0.0066066887229681,3.61651349067688,0.001,128,3,0.1,2000,True,100,45,35.11957787607501
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,246.9917953062249,22.721758502896183,0.0049203177914023,3.634173631668091,0.001,128,3,0.1,2000,True,100,45,36.27069021873474
