model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,outermost_linear,original_psnr
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,514.0064306705991,22.721758502896183,0.0082491422072052,10.21258807182312,0.001,128,3,1000,1.0,1,True,33.087829963335146
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,445.2775006275101,22.721758502896183,0.0077109113335609,10.17866039276123,0.001,128,3,1000,1.0,1,True,33.71120797494349
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.8255404430221,22.721758502896183,0.0074315601959824,10.278326749801636,0.001,128,3,1000,1.0,1,True,34.092771283888794
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,361.4375640583166,22.721758502896183,0.0071468926034867,10.195192575454712,0.001,128,3,1000,1.0,1,True,34.61718262148516
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3363.54096986906,22.721758502896183,0.0488046146929264,10.237544059753418,0.001,128,3,1000,1.0,1,False,24.929548267587663
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2894.6147153719044,22.721758502896183,0.0493817552924156,10.19888401031494,0.001,128,3,1000,1.0,1,False,25.581607831642188
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4534.04046916834,22.721758502896183,0.1071407496929168,10.242541551589966,0.001,128,3,1000,1.0,1,False,23.632661566073672
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3917.794319203899,22.721758502896183,0.0593617744743824,10.290477275848389,0.001,128,3,1000,1.0,1,False,24.267099165926773
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3240.817121349983,22.721758502896183,0.0440117381513118,10.205271244049072,0.001,128,3,1000,1.0,1,False,25.090970241925888
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,440.18085100819945,22.721758502896183,0.0072011537849903,11.44064474105835,0.001,128,3,1000,1.0,10,True,33.761204030585304
