model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_percent,outermost_linear,original_psnr
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1460.9640188357598,15.244594136755884,0.0065074078738689,107.18431305885316,0.001,128,4,1000,0.5,True,28.55112028666816
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1433.1315169532295,15.244594136755884,0.0073502114973962,92.72906494140624,0.001,128,4,1000,0.5,True,28.634655017987775
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1573.444181674615,15.244594136755884,0.0076965298503637,176.7043092250824,0.001,128,4,2000,0.5,True,28.229002079498095
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1922.1398563002008,15.244594136755884,0.0068395948037505,167.84634351730347,0.001,128,4,2000,0.5,True,27.359665647011177
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1625.5961371527778,15.244594136755884,0.0066083678975701,191.01184105873108,0.001,128,4,2000,0.5,True,28.0873889016082
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1430.600387225987,15.244594136755884,0.0062538310885429,163.1564860343933,0.001,128,4,2000,0.5,True,28.642332105065414
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1511.2787687207162,15.244594136755884,0.0062653147615492,169.54753398895264,0.001,128,4,2000,0.5,True,28.40406967584621
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1454.9817446870816,5.757182102133744,0.0098813353106379,11.320463418960571,0.001,256,3,100,0.5,True,28.56894004401454
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1768.907600453899,5.757182102133744,0.0094772595912218,11.541582584381104,0.001,256,3,100,0.5,True,27.720464007986052
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1428.8622223268071,5.757182102133744,0.0090716918930411,12.85857915878296,0.001,256,3,100,0.5,True,28.647611946912658
