model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1148.6594006233267,146.62219666474985,0.0216140896081924,1.242988109588623,0.001,32,2,500,64,10,29.59560277570774
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1072.4946674719713,146.62219666474985,0.0210721660405397,1.288142442703247,0.001,32,2,500,64,10,29.893564072513584
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1578.9239510123828,146.62219666474985,0.0261295884847641,1.2394342422485352,0.001,32,2,500,64,20,28.213903360805517
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1865.407201723561,146.62219666474985,0.0282691530883312,1.240103244781494,0.001,32,2,500,64,20,27.489778996688884
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1325.2292516419843,146.62219666474985,0.0232810005545616,1.2403545379638672,0.001,32,2,500,64,20,28.97460535316227
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1427.5405371485945,146.62219666474985,0.0257812533527612,1.295881986618042,0.001,32,2,500,64,20,28.651630992327533
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1371.3325031898428,146.62219666474985,0.0261893775314092,1.238107681274414,0.001,32,2,500,64,20,28.82608779030463
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1554.962229124833,241.37835279267907,0.0255478266626596,1.935476303100586,0.001,32,2,1000,32,10,28.280317045244182
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.7538461136207,241.37835279267907,0.0277429185807704,1.9496920108795168,0.001,32,2,1000,32,10,27.62132040497052
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1301.692320061496,241.37835279267907,0.0229841619729995,1.9798059463500977,0.001,32,2,1000,32,10,29.052432062326908
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1264.34238385835,241.37835279267907,0.0236162804067134,1.9814543724060056,0.001,32,2,1000,32,10,29.178868519685082
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1220.9326341825636,241.37835279267907,0.0236833468079566,1.9796199798583984,0.001,32,2,1000,32,10,29.33059846664872
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1615.289248138387,241.37835279267907,0.0268915444612503,1.971925973892212,0.001,32,2,1000,32,20,28.11501246482314
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1850.382960226322,241.37835279267907,0.0288027971982955,1.970346450805664,0.001,32,2,1000,32,20,27.524899283094094
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1502.5694601321954,241.37835279267907,0.0259910747408866,1.967714071273804,0.001,32,2,1000,32,20,28.429169912504758
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1430.562522224314,241.37835279267907,0.0266322344541549,1.9814960956573489,0.001,32,2,1000,32,20,28.642447055257385
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1263.6085644661982,241.37835279267907,0.0247919745743274,1.982487440109253,0.001,32,2,1000,32,20,29.181389879697136
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1117.2241844984103,146.62219666474985,0.0177760198712348,2.4744434356689453,0.001,32,2,1000,64,10,29.716112204845192
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1260.6563938043842,146.62219666474985,0.0209907796233892,2.4769115447998047,0.001,32,2,1000,64,10,29.191548179509574
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1293.647058285224,146.62219666474985,0.0222285110503435,2.475578784942627,0.001,32,2,1000,64,10,29.07935743490668
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1025.2110969921353,146.62219666474985,0.0185044836252927,2.4740569591522217,0.001,32,2,1000,64,10,30.089382503805492
