lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,60,45,342.7531555911145,22.721758502896183,0.00617760913446542,20.25588240623474,34.882341062924795,SIREN
0.001,128,3,2000,True,60,60,298.8934331074297,22.721758502896183,0.00494988458231088,20.25392279624939,35.483828324459935,SIREN
0.001,128,3,2000,True,60,80,278.5893623975067,22.721758502896183,0.00430679153650994,20.254516506195067,35.87960415483707,SIREN
0.001,128,3,2000,True,60,100,310.8063258241299,22.721758502896183,0.00440255636349314,20.253802156448366,35.38191186140578,SIREN
0.001,128,3,2000,True,80,15,705.1760421895917,22.721758502896183,0.01173225622624156,20.25341925621033,31.78973355567721,SIREN
0.001,128,3,2000,True,80,30,458.14967160307896,22.721758502896183,0.00772881079465144,20.254943561553954,33.62356209181287,SIREN
0.001,128,3,2000,True,80,45,364.88898066223226,22.721758502896183,0.0054870805703103,20.255676412582396,34.63101342855312,SIREN
0.001,128,3,2000,True,80,60,346.8562314361613,22.721758502896183,0.0052004189230501,20.253852891921998,34.892236740602804,SIREN
0.001,128,3,2000,True,80,80,331.68337699757365,22.721758502896183,0.00436347573995588,20.25693154335022,35.12602843990675,SIREN
0.001,128,3,2000,True,80,100,331.68173841198126,22.721758502896183,0.00452202940359708,20.25418653488159,35.02016608695475,SIREN
0.001,128,3,2000,True,100,15,696.5458647088353,22.721758502896183,0.01129570174962278,20.25549669265747,31.817329471321678,SIREN
0.001,128,3,2000,True,100,30,506.8206471720214,22.721758502896183,0.00823299363255494,20.254728841781617,33.191869116789235,SIREN
0.001,128,3,2000,True,100,45,453.4889291541164,22.721758502896183,0.00684043336659664,20.25486469268799,33.66921111858544,SIREN
0.001,128,3,2000,True,100,60,540.5281788612784,22.721758502896183,0.007829617708921401,20.253395986557006,33.034533365295125,SIREN
0.001,128,3,2000,True,100,80,422.71823099690425,22.721758502896183,0.00545099135488266,20.254639768600462,34.10377827198997,SIREN
0.001,128,3,2000,True,100,100,475.4155452539324,22.721758502896183,0.00559541769325728,20.261305332183838,33.6173909708663,SIREN
0.001,128,4,2000,True,15,15,418.87330833751673,15.244594136755884,0.007515164185315321,27.53131494522095,34.005689848945174,SIREN
0.001,128,4,2000,True,15,30,297.22659387550203,15.244594136755884,0.0054528778418898,27.530909919738768,35.53655089499282,SIREN
0.001,128,4,2000,True,15,45,234.55235865336346,15.244594136755884,0.00444912323728202,27.529226064682007,36.559356859894805,SIREN
0.001,128,4,2000,True,15,60,206.82011588018742,15.244594136755884,0.00380789921618992,27.529286670684815,37.07762922710636,SIREN
0.001,128,4,2000,True,15,80,128.9585074673695,15.244594136755884,0.0018861429765820198,27.52879681587219,39.13713831389274,SIREN
0.001,128,4,2000,True,15,100,130.0234984207664,15.244594136755884,0.00179086423013354,27.528276252746583,39.15704319216953,SIREN
0.001,128,4,2000,True,30,15,413.0466203355087,15.244594136755884,0.0073276620358228,27.528427648544312,34.07407891803535,SIREN
0.001,128,4,2000,True,30,30,281.8513475778112,15.244594136755884,0.0052343762479722,27.5291250705719,35.73371063648811,SIREN
0.001,128,4,2000,True,30,45,199.8771842578648,15.244594136755884,0.0035430115647613397,27.530071401596068,37.22363268792758,SIREN
0.001,128,4,2000,True,30,60,194.66837741591365,15.244594136755884,0.0027243451680988,27.529472732543944,37.35470613202948,SIREN
0.001,128,4,2000,True,30,80,149.50297675075302,15.244594136755884,0.00209989184513684,27.531402683258058,38.565343659796405,SIREN
0.001,128,4,2000,True,30,100,133.34082214273764,15.244594136755884,0.00184498657472426,27.52851309776306,39.01214203355612,SIREN
0.001,128,4,2000,True,45,15,488.6545117971888,15.244594136755884,0.0081281485036015,27.53000326156616,33.349598624739265,SIREN
