model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,a,s,original_psnr
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,109.31968106802208,3.8504960811851583,0.0013387863291427,138.01037907600403,0.001,256,4,2000,1,1000,30,50,39.81053192766227
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,64.55762372406292,3.8504960811851583,0.0008607474155724,137.9820728302002,0.001,256,4,2000,1,1000,30,50,42.098040125320104
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,53.36358062458166,3.8504960811851583,0.0008785320096649,137.99150896072388,0.001,256,4,2000,1,1000,30,50,42.92506586304518
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,264.52094314759034,3.8504960811851583,0.0040054083801805,137.95968317985535,0.001,256,4,2000,1,1000,30,100,35.97291486258419
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,332.2233556622323,3.8504960811851583,0.0044325524941086,137.98542833328247,0.001,256,4,2000,1,1000,30,100,34.98321388205356
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,316.6419571515228,3.8504960811851583,0.0041477791965007,138.00230145454407,0.001,256,4,2000,1,1000,30,100,35.19183087539307
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,179.98957287483267,3.8504960811851583,0.0030120110604912,137.97266745567322,0.001,256,4,2000,1,1000,30,100,37.645042024087296
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,150.84686794051206,3.8504960811851583,0.0028162794187664,137.9661271572113,0.001,256,4,2000,1,1000,30,100,38.41215251493563
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1040.653495492386,3.8504960811851583,0.0157515909522771,137.96656489372253,0.001,256,4,2000,1,1000,30,200,30.024454014334886
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1321.4092633555051,3.8504960811851583,0.0196469463407993,137.97913479804993,0.001,256,4,2000,1,1000,30,200,28.98714201788904
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1022.7665819528112,3.8504960811851583,0.0167554039508104,137.97304105758667,0.001,256,4,2000,1,1000,30,200,30.099750193918613
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,969.1099096908468,3.8504960811851583,0.0166922155767679,138.02296090126038,0.001,256,4,2000,1,1000,30,200,30.333785142701345
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,935.1827152359438,3.8504960811851583,0.0174012258648872,137.96403622627258,0.001,256,4,2000,1,1000,30,200,30.48855077502765
