lr,hidden_features,hidden_layers,max_iters,fourier_features,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,32,4,1000,32,1563.0521162776106,144.84529445180837,0.027432351931929538,3.38105788230896,28.290837950433712,FFNet
0.0001,32,4,1000,64,1457.705132770666,104.37003683995087,0.02540386784821743,3.934335207939148,28.63651184285631,FFNet
0.0001,32,4,2000,32,1386.0577607304217,144.84529445180837,0.02456474229693406,6.760798358917237,28.811913372900573,FFNet
0.0001,32,4,2000,64,1223.986703062249,104.37003683995087,0.0221028752624988,7.840641665458679,29.408847937821633,FFNet
0.0001,64,2,100,32,1576.7491522077894,91.2257602862254,0.028779195062816093,0.27892401218414303,28.24785220910088,FFNet
0.0001,64,2,100,64,1578.053539418089,61.28739684320167,0.02888985965400929,0.3351634740829468,28.24410007367954,FFNet
0.0001,64,2,500,32,1576.5768014767405,91.2257602862254,0.02784452121704813,1.367564868927002,28.248313586750925,FFNet
0.0001,64,2,500,64,1575.5395964064592,61.28739684320167,0.02735746987164016,1.6478749990463257,28.250895222495416,FFNet
0.0001,64,2,1000,32,1567.9091456973729,91.2257602862254,0.026970098540186838,2.743220901489258,28.275411271688306,FFNet
0.0001,64,2,1000,64,1520.8040764620985,61.28739684320167,0.0258894002065062,3.2681108713150024,28.40056621921908,FFNet
0.0001,64,2,2000,32,1520.8258144557396,91.2257602862254,0.02585009671747679,5.4429460048675535,28.407203141762295,FFNet
0.0001,64,2,2000,64,1270.8458292806642,61.28739684320167,0.02195211797952646,6.529375982284546,29.21279606719698,FFNet
0.0001,64,3,100,32,1576.5827400748828,60.97473096851335,0.02824530117213722,0.38748464584350584,28.248297704056363,FFNet
0.0001,64,3,100,64,1576.5949063179803,45.96646836127636,0.028157844580709877,0.44093239307403564,28.24827046449218,FFNet
0.0001,64,3,500,32,1559.0084196159637,60.97473096851335,0.02738752532750364,1.9197471380233764,28.290286740870265,FFNet
0.0001,64,3,500,64,1498.1662606153782,45.96646836127636,0.02594290692359204,2.1909002304077148,28.49914244072796,FFNet
0.0001,64,3,1000,32,1529.0949467139392,60.97473096851335,0.02622776161879295,3.837274098396301,28.377005412129098,FFNet
0.0001,64,3,1000,64,1158.9713484144913,45.96646836127636,0.020315255876630512,4.378226161003113,29.687350784532363,FFNet
0.0001,64,3,2000,32,1338.3199807040662,60.97473096851335,0.02316268533468242,7.6702021837234495,29.026998383423866,FFNet
0.0001,64,3,2000,64,1053.4003116633198,45.96646836127636,0.017182903364300662,8.751110911369324,30.169187788733744,FFNet
0.0001,64,4,100,32,1576.582153222264,45.79036216701586,0.028243994526565043,0.5007837295532227,28.248299506605274,FFNet
0.0001,64,4,100,64,1576.5815663696453,36.77361665304553,0.028064745478331998,0.5525954484939575,28.24830084306793,FFNet
0.0001,64,4,500,32,1569.8360121475484,45.79036216701586,0.027419104240834657,2.483095145225525,28.26421379134946,FFNet
0.0001,64,4,500,64,1361.1944807877342,36.77361665304553,0.02353190630674358,2.748334836959839,28.923075023125136,FFNet
0.0001,64,4,1000,32,1438.6429942425953,45.79036216701586,0.02511309068650004,4.956063055992127,28.689932351186748,FFNet
0.0001,64,4,1000,64,1036.6399845475653,36.77361665304553,0.017922473791986658,5.492364597320557,30.22824799660318,FFNet
