model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_psnr
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1025.2610180304553,156.20338983050848,0.0206428989768028,6.743788242340088,0.001,32,4,1000,256.0,1.0,30.089171036101845
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1154.8247168360945,156.20338983050848,0.0200944356620311,13.48780369758606,0.001,32,4,2000,256.0,1.0,29.572354782079998
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1368.2322506170517,156.20338983050848,0.0219596438109874,13.49949026107788,0.001,32,4,2000,256.0,1.0,28.835917257980217
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1095.1707428673026,156.20338983050848,0.0197313372045755,13.484503507614136,0.001,32,4,2000,256.0,1.0,29.8026971552301
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,989.3561394013554,156.20338983050848,0.0191478114575147,13.484033346176147,0.001,32,4,2000,256.0,1.0,30.243988956580598
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,973.8788238893072,156.20338983050848,0.0201057288795709,13.48432207107544,0.001,32,4,2000,256.0,1.0,30.312466261699036
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1387.7937335278614,83.57128810226155,0.0234168581664562,0.5979371070861816,0.001,64,2,100,256.0,1.0,28.774266266305638
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1718.2310570406626,83.57128810226155,0.0265983268618583,0.5969884395599365,0.001,64,2,100,256.0,1.0,27.84669984120263
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.8917937374497,83.57128810226155,0.0242445711046457,0.5976955890655518,0.001,64,2,100,256.0,1.0,28.767705580179992
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1222.6347577811246,83.57128810226155,0.0228410847485065,0.5967066287994385,0.001,64,2,100,256.0,1.0,29.32454810758464
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1275.426406145415,83.57128810226155,0.0243786685168743,0.5982513427734375,0.001,64,2,100,256.0,1.0,29.14096144486149
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1108.1200609730588,83.57128810226155,0.0191380959004163,2.9728989601135254,0.001,64,2,500,256.0,1.0,29.751647315215234
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1321.1134616591366,83.57128810226155,0.0207095649093389,2.973167657852173,0.001,64,2,500,256.0,1.0,28.988114308827477
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1069.9482278070616,83.57128810226155,0.0192664097994565,2.971420764923096,0.001,64,2,500,256.0,1.0,29.90388785027378
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,957.7682226301038,83.57128810226155,0.0186298340559005,2.9711899757385254,0.001,64,2,500,256.0,1.0,30.384911250867454
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,910.5483378827812,83.57128810226155,0.0186084248125553,2.9717917442321777,0.001,64,2,500,256.0,1.0,30.604485428222805
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1054.0260795787317,83.57128810226155,0.0181915760040283,5.940150499343872,0.001,64,2,1000,256.0,1.0,29.96900192086946
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1282.520319559488,83.57128810226155,0.0199772305786609,5.941587209701538,0.001,64,2,1000,256.0,1.0,29.116872942014396
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,998.171099763638,83.57128810226155,0.0179805252701044,5.939904451370239,0.001,64,2,1000,256.0,1.0,30.205465572651118
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,921.6321954484604,83.57128810226155,0.018032805994153,5.940467834472656,0.001,64,2,1000,256.0,1.0,30.551939111803755
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,886.2790863976741,83.57128810226155,0.0183630045503377,5.940438747406006,0.001,64,2,1000,256.0,1.0,30.72181047425363
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1045.847577811245,83.57128810226155,0.0181196760386228,11.883171319961548,0.001,64,2,2000,256.0,1.0,30.00283153852454
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1236.904695605338,83.57128810226155,0.0191071387380361,11.87789011001587,0.001,64,2,2000,256.0,1.0,29.274153105504453
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,957.7156660496152,83.57128810226155,0.0172513294965028,11.9181547164917,0.001,64,2,2000,256.0,1.0,30.385149572192258
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,895.9179243013722,83.57128810226155,0.0175269581377506,11.876547813415527,0.001,64,2,2000,256.0,1.0,30.67483323318911
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,852.54449176916,83.57128810226155,0.0178478248417377,11.87874722480774,0.001,64,2,2000,256.0,1.0,30.89034495969845
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1305.7561156082663,56.373203625912005,0.0246372558176517,0.8297266960144043,0.001,64,3,100,256.0,1.0,29.03889480201996
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1455.1988187123493,56.373203625912005,0.0227751210331916,0.8310506343841553,0.001,64,3,100,256.0,1.0,28.568292152590217
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1106.9122767110107,56.373203625912005,0.0199369508773088,0.8295772075653076,0.001,64,3,100,256.0,1.0,29.756383445549737
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1020.588271052962,56.373203625912005,0.0196700878441333,0.828667163848877,0.001,64,3,100,256.0,1.0,30.109009758018853
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,989.9561461993808,56.373203625912005,0.0200546830892562,0.8368299007415771,0.001,64,3,100,256.0,1.0,30.241355924376798
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,839.0841608621988,56.373203625912005,0.014683598652482,4.131119012832642,0.001,64,3,500,256.0,1.0,30.959460256440444
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1053.9082933295683,56.373203625912005,0.0163301918655633,4.133071660995483,0.001,64,3,500,256.0,1.0,29.969487267270814
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,812.7762429928046,56.373203625912005,0.0146314483135938,4.131969451904297,0.001,64,3,500,256.0,1.0,31.097805478330507
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,732.4274912148594,56.373203625912005,0.0144631313160061,4.132383584976196,0.001,64,3,500,256.0,1.0,31.54986911855557
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,688.9498501819779,56.373203625912005,0.0147621752694249,4.131316184997559,0.001,64,3,500,256.0,1.0,31.815639387345147
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,820.983360525435,56.373203625912005,0.0139052970334887,8.259158611297607,0.001,64,3,1000,256.0,1.0,31.054171937246483
