model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_psnr
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.026896633207798,13.662404298782349,0.001,64,3,2000,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.0269905906170606,13.66228437423706,0.001,64,3,2000,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.0276392884552478,13.661110639572144,0.001,64,3,2000,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279667247086763,0.9089717864990234,0.001,64,4,100,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0301549769937992,0.908644437789917,0.001,64,4,100,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0270345490425825,0.9079372882843018,0.001,64,4,100,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0271527133882045,0.9084300994873048,0.001,64,4,100,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0277535878121852,0.908820390701294,0.001,64,4,100,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0280485115945339,0.911219358444214,0.001,64,4,100,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0302424449473619,0.910888671875,0.001,64,4,100,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0271553490310907,0.9111089706420898,0.001,64,4,100,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0272514149546623,0.912043571472168,0.001,64,4,100,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0277369413524866,0.9111366271972656,0.001,64,4,100,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279480013996362,4.526249885559082,0.001,64,4,500,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0300773251801729,4.526105165481567,0.001,64,4,500,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0269919913262128,4.526583433151245,0.001,64,4,500,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0270106755197048,4.527177333831787,0.001,64,4,500,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0277361199259758,4.52632737159729,0.001,64,4,500,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279539003968238,4.543161630630493,0.001,64,4,500,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0301505327224731,4.543152093887329,0.001,64,4,500,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0270059891045093,4.542646646499634,0.001,64,4,500,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.027041308581829,4.542474031448364,0.001,64,4,500,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.027707852423191,4.543552398681641,0.001,64,4,500,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279416441917419,9.050798177719116,0.001,64,4,1000,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0301020592451095,9.04903793334961,0.001,64,4,1000,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0269628819078207,9.049340724945068,0.001,64,4,1000,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0269915871322155,9.050288200378418,0.001,64,4,1000,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0279898792505264,9.04943871498108,0.001,64,4,1000,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279404409229755,9.082594394683838,0.001,64,4,1000,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0301251076161861,9.082157135009766,0.001,64,4,1000,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.026988998055458,9.08328652381897,0.001,64,4,1000,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0270333848893642,9.083342790603638,0.001,64,4,1000,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0277115441858768,9.081976652145386,0.001,64,4,1000,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0277681928128004,18.09783148765564,0.001,64,4,2000,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0300576817244291,18.09513235092163,0.001,64,4,2000,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0268735494464635,18.09549689292908,0.001,64,4,2000,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0269348118454217,18.09805941581726,0.001,64,4,2000,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0276120193302631,18.09645175933838,0.001,64,4,2000,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.0279254596680402,18.164674758911133,0.001,64,4,2000,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,59.7553316147176,0.0300574731081724,18.15863394737244,0.001,64,4,2000,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0268546696752309,18.160554885864254,0.001,64,4,2000,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1433.2207175054384,59.7553316147176,0.0265620946884155,18.16010928153992,0.001,64,4,2000,False,28.634384714100108
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0274279620498418,18.159977436065677,0.001,64,4,2000,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.0280432384461164,1.4506545066833496,0.001,128,3,100,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,22.721758502896183,0.030115270987153,1.4512939453125,0.001,128,3,100,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.0270530972629785,1.449537992477417,0.001,128,3,100,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.0270645730197429,1.4496147632598877,0.001,128,3,100,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.027783527970314,1.4496333599090576,0.001,128,3,100,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.0310540106147527,1.4531383514404297,0.001,128,3,100,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,22.721758502896183,0.0342509932816028,1.4529845714569092,0.001,128,3,100,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.030293770134449,1.4541518688201904,0.001,128,3,100,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.0301008131355047,1.452955722808838,0.001,128,3,100,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.0291474685072898,1.4536268711090088,0.001,128,3,100,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.0279201604425907,7.237192392349243,0.001,128,3,500,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,22.721758502896183,0.0300827287137508,7.237339735031128,0.001,128,3,500,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.0269542578607797,7.237508058547974,0.001,128,3,500,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.0269930381327867,7.236814975738525,0.001,128,3,500,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.0276563633233308,7.236929178237915,0.001,128,3,500,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.0279486402869224,7.254784345626831,0.001,128,3,500,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,22.721758502896183,0.0301129892468452,7.25348949432373,0.001,128,3,500,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.0275584813207387,7.255056619644165,0.001,128,3,500,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.0270304344594478,7.255992412567139,0.001,128,3,500,False,28.63819676769929
