lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,128,2,1000,256.0,1.0,706.9176529032798,22.0510248205483,0.01211634632199996,12.49468698501587,31.75654927727939,FFNet2
0.0001,128,2,2000,256.0,1.0,565.0514966114458,22.0510248205483,0.009543448872864199,24.98543248176575,32.7243520228433,FFNet2
0.0001,128,3,100,256.0,1.0,1576.2651666562083,14.79179316612844,0.03345749042928214,1.7610837936401367,28.249162853394438,FFNet2
0.0001,128,3,500,256.0,1.0,748.1187314361614,14.79179316612844,0.013244608044624278,8.788754606246949,31.503075587180707,FFNet2
0.0001,128,3,1000,256.0,1.0,513.3008894954819,14.79179316612844,0.00876855980604882,17.573798274993898,33.132045820061805,FFNet2
0.0001,128,3,2000,256.0,1.0,378.9665171101071,14.79179316612844,0.00653451466932886,35.14429178237915,34.432515752433986,FFNet2
0.0001,128,4,100,256.0,1.0,1576.5815663696453,11.128329720528972,0.02818356193602082,2.2685948848724364,28.24830084306793,FFNet2
0.0001,128,4,500,256.0,1.0,661.3591046477577,11.128329720528972,0.01180812101811166,11.333739519119263,32.05773916813507,FFNet2
0.0001,128,4,1000,256.0,1.0,406.4714352200468,11.128329720528972,0.007073218002915339,22.649164056777956,34.12798248860446,FFNet2
0.0001,128,4,2000,256.0,1.0,295.6783809718039,11.128329720528972,0.00522090233862396,45.29430313110352,35.50741523366154,FFNet2
0.0001,256,2,100,256.0,1.0,1496.111807385793,5.669787196193102,0.02773551605641838,2.8216320514678954,28.480932641077903,FFNet2
0.0001,256,2,500,256.0,1.0,429.89830676874163,5.669787196193102,0.00689736045897002,14.088273572921754,33.887138024939496,FFNet2
0.0001,256,2,1000,256.0,1.0,303.3613132216366,5.669787196193102,0.00503674717620012,28.173101234436036,35.390899143744626,FFNet2
0.0001,256,2,2000,256.0,1.0,244.45090361445781,5.669787196193102,0.00427737794816492,56.34699006080628,36.334199770080374,FFNet2
0.0001,256,3,100,256.0,1.0,1455.2804512320113,3.791859375697098,0.02448638714849946,4.026110458374023,28.577149725028214,FFNet2
0.0001,256,3,500,256.0,1.0,345.0092714608434,3.791859375697098,0.0056095303036271995,20.122746801376344,34.85332197969851,FFNet2
0.0001,256,3,1000,256.0,1.0,235.22853052836345,3.791859375697098,0.00416053747758266,40.250075817108154,36.51700731381281,FFNet2
0.0001,256,3,2000,256.0,1.0,186.79712129769078,3.791859375697098,0.00346852624788876,80.50618839263916,37.51275984095274,FFNet2
0.0001,256,4,100,256.0,1.0,1505.6198816097726,2.848416466513992,0.02521053254604334,5.2461567401885985,28.448897639466857,FFNet2
0.0001,256,4,500,256.0,1.0,314.5193649598394,2.848416466513992,0.00515904119238252,26.22778186798096,35.23799740580959,FFNet2
0.0001,256,4,1000,256.0,1.0,205.62444962140225,2.848416466513992,0.0037075749132781596,52.413222789764404,37.09079851915952,FFNet2
0.0001,256,4,2000,256.0,1.0,184.64327100066936,2.848416466513992,0.00306135751307006,104.85212497711181,37.58725766151471,FFNet2
0.001,32,2,100,256.0,1.0,1576.5023850610773,302.4626334519573,0.02773011587560172,0.3924649238586425,28.248527758690358,FFNet2
0.001,32,2,500,256.0,1.0,1490.1307383178548,302.4626334519573,0.0254957657307386,1.898270559310913,28.49448706337367,FFNet2
0.001,32,2,1000,256.0,1.0,1438.1766882634706,302.4626334519573,0.0248538982123136,3.795409345626831,28.649635992826042,FFNet2
0.001,32,2,2000,256.0,1.0,1407.8382548422858,302.4626334519573,0.02447994425892826,7.591196346282959,28.739205367761503,FFNet2
0.001,32,3,100,256.0,1.0,1566.6975378074799,206.01346619983843,0.03169976137578482,0.529843521118164,28.27577848731038,FFNet2
