lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,64,4,100,True,1479.0463878953312,59.755331614717605,0.024387516826391183,0.6144965171813965,28.544743865992455,SIREN
0.0001,64,4,500,False,1577.2030057730924,59.755331614717605,0.026200473308563177,3.086983013153076,28.27305910263255,SIREN
0.0001,64,4,500,True,877.0642941557899,59.755331614717605,0.01434336081147188,3.0617467880249025,30.805075413483156,SIREN
0.0001,64,4,1000,False,1366.94757415077,59.755331614717605,0.02277582734823222,6.137361907958985,28.866305520671006,SIREN
0.0001,64,4,1000,True,636.2597802669009,59.755331614717605,0.01144082825630898,6.129329824447632,32.17478027283138,SIREN
0.0001,64,4,2000,False,1248.5677857262383,59.755331614717605,0.02025398537516588,12.264686346054077,29.25937995480094,SIREN
0.0001,64,4,2000,True,618.5780418549197,59.755331614717605,0.01115198675543064,12.233919715881347,32.307235200700894,SIREN
0.0001,128,2,100,False,6455.642540212934,44.59441497114207,0.07219462431967254,0.6536738395690918,23.228410759881065,SIREN
0.0001,128,2,100,True,1506.1787219189257,44.59441497114207,0.025321799889206843,0.6580551147460938,28.439994572665018,SIREN
0.0001,128,2,500,False,1580.788698282714,44.59441497114207,0.025767851620912517,3.262801170349121,28.241694183164565,SIREN
0.0001,128,2,500,True,1164.854584222306,44.59441497114207,0.01897833868861194,3.249417448043823,29.59023888015214,SIREN
0.0001,128,2,1000,False,1581.9930945134706,44.59441497114207,0.02539448812603946,6.528395795822144,28.263786986130004,SIREN
0.0001,128,2,1000,True,964.2647598205322,44.59441497114207,0.0158460712060332,6.5118413925170895,30.36605310848559,SIREN
0.0001,128,2,2000,False,1382.783593227075,44.59441497114207,0.02806458175182338,13.017224168777465,28.809841113709943,SIREN
0.0001,128,2,2000,True,831.2212976907631,44.59441497114207,0.0137936213985085,13.002537775039674,31.022159458122605,SIREN
0.0001,128,3,100,False,2097.9438809927206,22.721758502896183,0.0328268598765134,1.0242730617523192,27.62809460008874,SIREN
0.0001,128,3,100,True,1491.3664870419175,22.721758502896183,0.024675469845533322,1.0296225070953369,28.49615665661356,SIREN
0.0001,128,3,500,False,1475.4642787295013,22.721758502896183,0.02405644170939916,5.082759094238281,28.55039398511493,SIREN
0.0001,128,3,500,True,743.2063650435073,22.721758502896183,0.012107286602258622,5.075407218933106,31.66957349688363,SIREN
0.0001,128,3,1000,False,1347.9746467641398,22.721758502896183,0.0222264192998409,10.152288341522217,28.928673699464163,SIREN
0.0001,128,3,1000,True,477.6601376861613,22.721758502896183,0.008293221890926319,10.134836149215698,33.44901763577009,SIREN
0.0001,128,3,2000,False,1256.8609027254854,22.721758502896183,0.02011711113154882,20.29217505455017,29.245103325752968,SIREN
0.0001,128,3,2000,True,433.01304436495985,22.721758502896183,0.007266298960894301,20.264300966262816,33.85420711588408,SIREN
0.0001,128,4,100,False,3195.4234189361614,15.244594136755884,0.04087503775954242,1.3961193084716796,26.084379469827308,SIREN
0.0001,128,4,100,True,1365.4878997761882,15.244594136755884,0.02240160480141634,1.3817504405975343,28.865888759871307,SIREN
0.0001,128,4,500,False,1393.632767005522,15.244594136755884,0.02248598597943778,6.898149681091309,28.796849646716208,SIREN
0.0001,128,4,500,True,380.8174743243809,15.244594136755884,0.00668005989864464,6.918106269836426,34.483138328365634,SIREN
0.0001,128,4,1000,False,1222.7000601363789,15.244594136755884,0.019856116548180543,13.793912220001221,29.359148451928924,SIREN
0.0001,128,4,1000,True,281.16828564257025,15.244594136755884,0.00520901056006544,13.842613172531127,35.7449972589843,SIREN
0.0001,128,4,2000,False,1028.9999487533466,15.244594136755884,0.016636366769671403,27.577000284194945,30.104068338315113,SIREN
0.0001,128,4,2000,True,244.38954385249332,15.244594136755884,0.00452897083014246,27.54374189376831,36.36144957386272,SIREN
0.0001,256,2,100,False,3219.4344469021926,11.40441012031667,0.04171743057668204,1.4747815132141113,26.197291424515107,SIREN
0.0001,256,2,100,True,1443.345470946285,11.40441012031667,0.02394298687577244,1.497803258895874,28.624752998148164,SIREN
0.0001,256,2,500,False,1446.9414316118641,11.40441012031667,0.02427728474140162,7.399080657958985,28.617538763509526,SIREN
0.0001,256,2,500,True,943.1329317269076,11.40441012031667,0.01514009609818454,7.339189910888672,30.497425305933966,SIREN
