model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,a,s,original_psnr
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,3.8504960811851583,0.0298972316086292,137.8273138999939,0.001,256,4,2000,1,1000,1.0,1.0,27.39395688165706
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,3.8504960811851583,0.026679690927267,137.85536289215088,0.001,256,4,2000,1,1000,1.0,1.0,28.355174592972276
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,3.8504960811851583,0.0265263710170984,137.85402035713196,0.001,256,4,2000,1,1000,1.0,1.0,28.63819676769929
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,3.8504960811851583,0.0272760968655347,137.94673442840576,0.001,256,4,2000,1,1000,1.0,1.0,28.762149161719424
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,752.4109288717369,3.8504960811851583,0.0126590793952345,137.8778736591339,0.001,256,4,2000,1,1000,1.0,5.0,31.432964536561357
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1004.505881599314,3.8504960811851583,0.0168318469077348,137.85509252548218,0.001,256,4,2000,1,1000,1.0,5.0,30.177990647872033
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,783.5378885332999,3.8504960811851583,0.0133250225335359,137.85256385803223,0.001,256,4,2000,1,1000,1.0,5.0,31.256915468353696
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,675.184749414324,3.8504960811851583,0.0122579345479607,137.84010529518127,0.001,256,4,2000,1,1000,1.0,5.0,31.903289245689294
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,798.9189531563756,3.8504960811851583,0.0150275388732552,137.83482885360718,0.001,256,4,2000,1,1000,1.0,5.0,31.172488244997233
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,291.82181983140896,3.8504960811851583,0.0038955924101173,137.8729329109192,0.001,256,4,2000,1,1000,1.0,10.0,35.54633787329965
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,372.7366706408969,3.8504960811851583,0.0049941064789891,137.85333037376404,0.001,256,4,2000,1,1000,1.0,10.0,34.483494270796484
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,369.6507527505857,3.8504960811851583,0.0055974228307604,137.8512933254242,0.001,256,4,2000,1,1000,1.0,10.0,34.51959953842663
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,282.74748342327644,3.8504960811851583,0.0044395877048373,138.135320186615,0.001,256,4,2000,1,1000,1.0,10.0,35.68352800563932
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,334.21321483852074,3.8504960811851583,0.0056253690272569,137.9011070728302,0.001,256,4,2000,1,1000,1.0,10.0,34.95727930804019
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,455.9231143323293,3.8504960811851583,0.0069989655166864,137.98590278625488,0.001,256,4,2000,1,1000,1.0,20.0,33.608599382003206
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,476.2356156396419,3.8504960811851583,0.0077063827775418,137.96389079093933,0.001,256,4,2000,1,1000,1.0,20.0,33.419296774433555
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,432.60925080530455,3.8504960811851583,0.0072694430127739,138.29315042495728,0.001,256,4,2000,1,1000,1.0,20.0,33.83655746722867
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,490.5513682333501,3.8504960811851583,0.0082999318838119,138.0423867702484,0.001,256,4,2000,1,1000,1.0,20.0,33.29067057393213
